text,label
Covid-19 masks are dangerous and the obligation to wear them is a crime against humanity,False
Thousands of people demonstrate in Romania against health measures,False
"The Argentine Vice President, Cristina Fernández de Kirchner, was “multi-vaccinated” against the coronavirus, as shown in these three images",False
"Fernando Simón, director of the Center for the Coordination of Health Alerts and Emergencies of the Spanish Ministry of Health, has recognized that deaths from other causes are included as if they were from COVID-19",False
News from the newspaper ‘El País’ in the year 2003 about the current COVID-19 pandemic,False
"World Health Organization (WHO) approved Coronil, an Indian herbal medication, as a Covid-19 treatment.",False
The Province of Buenos Aires (Argentina) has already finished vaccinating all its health personnel,False
"The Corona Virus vaccine “can leave you sterile,” according to Argentine actor Marcelo Mazzarello",False
"Pfizer, Moderna and Astrazeneca are handing out flyers against Covid-19 vaccine",False
We have been vaccinating for two months with a vaccine against COVID-19 that has not been tested in humans.,False
Statements of the Spanish actress Victoria Abril about COVID-19,False
Photo of protests in Romania against globalist restrictions,False
A message on COVID-19 vaccine registrations for the elderly through the Covid Vaccine Intelligence Work app (Co-WIN) is being circulated on Whatsapp. It includes the steps that are involved in registering for the vaccine including PAN and SMS confirmation.,False
UNSAM’s coronavirus vaccine investigation is about to start phase III,False
"Vaccines that need to be stored at -80ºC are not vaccines, but biological weapons that can change your DNA",False
Photos of protesters in Romania rallying against Covid-19 restrictions.,False
A mixture of roasted orange and brown sugar will give you back your sense of taste after recovering from COVID-19,False
South African President Cyril Ramaphosa received a Covid-19 shot with a syringe that still had the needle covered by a cap.,False
WHAT IS NOT ON TV – Protest in Madrid against the restrictions of the plandemic,False
Brazilian Military Police and Traffic Department will fine drivers without masks,False
Photo of kings Felipe VI and Letizia and president Pedro Sánchez entering the Congress of Deputies without a mask,False
Children are at risk of heart attack if they wear a mask,False
"On January 18, 2021, WHO recognized ivermectin as a treatment for COVID-19 prevention",False
The image shows a large crowd protesting against COVID-19 restrictions in Romania,False
Covid-19 restrictive measures are useless,False
Vietnam has recorded no deaths from Covid-19 due to widespread consumption of hot lemon tea in the population.,False
"Coronavirus tests do not work to diagnose COVID-19. Red Bull tests positive,",False
"Delfina Rossi (director of Banco Ciudad, Argentina): “The Province of Buenos Aires has already finished vaccinating all its health personnel”",False
Healthy people should wear the white part of surgical masks facing outward,False
Bill Gates said he would never let his children be vaccinated,False
Australian Prime Minister Scott Morrision faked receiving the COVID-19 vaccine,False
An image purportedly shows a large crowd protesting against COVID-19 restrictions in Romania,False
CNN journalist deliberately mistranslating a Chinese man’s comments in a report about coronavirus lockdowns in China.,False
Australian Prime Minister Scott Morrison’s Covid-19 vaccination was faked.,False
"Wearing masks turn the blood into acid, which contributes to lung cancer",False
Two photos claim they show people suffering from side effects caused by Moderna’s Covid-19 vaccine.,False
The tannins in the wine are used to combat COVID-19,False
Ivermectin is anticancer and anti-inflammatory and it isn’t metabolized in the liver or eliminated by the kidneys,False
A WhatsApp messages asks users to “Fill in this form to consult your covid-19 vaccination site”,False
Australian Prime Minister Scott Morrision faked receiving the COVID-19 vaccine,False
Sri Lankan ayurvedic practitioner being vaccinated for Covid-19 after he touted a false herbal cure for the disease,False
"On 20 January, one hour after Biden’s inauguration. The WHO has changed the way it performed the testings with the PCR test, reduced it to 25 cycles and declared that people who do not have a fever should not be tested",False
An EU publication claims that an Italian doctor died after receiving the second dose of the Pfizer vaccine,False
"A video showing “doctors, nurses, policemen and firemen” who celebrate that they are no longer part of “the world order” and the “plandemic”",False
An image showing that PCR tests come with pre-determined wpositive or negative results.,False
The Biden administration has stopped testing detained immigrants for Covid-19 before they are released at the southern border.,False
"US Centers for Disease Control and Prevention (CDC) increased the Covid-19 death toll by 1,600 percent because they illegally altered rules for reporting mortality data.",False
"A study has proven that CDC inflated the number of cases by 1,600%",False
Colombia is the last country in South America to start vaccination and the first vaccines that arrived to the country were from Covax,False
"Hospitalizations in the Brazilian city of Santarém, in the state of Pará, dropped after a visit by the Minister of Health.",False
"An alleged vaccination calender that is being shared on WhatsApp, shows that people between 55 and 74 years old are going to be vaccinated in March",False
Anvisa’s president has warned that vaccines that are currently being used against Covid-19 are a “sanitary hazard”,False
A study proved that 97% of PCRs tests are false positives; they can detected other viruses and say it’s SARS-CoV-2,False
Only three countries in Asia have started their vaccination rollouts as of Feb. 2,False
Videos show the resignations of doctors and lawyers in France for “not being part of the plandemic.”,False
